property_name,price,house_type,area_in_sq_ft,no_of_bedrooms,no_of_bathrooms,no_of_receptions,city,postal_code,location,nearest_station,postcode_latitude,postcode_longitude,station_latitude,station_longitude,price_per_sqft,distance_miles
Francis House,335000,Penthouse,2185,3,3,3,London,SW10 0RP,Chelsea,West Brompton,51.4804,-0.18723,51.487,-0.195185,153.31807780320366,0.57
Wendle Square,10000,Flat / Apartment,1228,3,3,3,London,SW11 4SS,Battersea,Clapham Junction,51.4759,-0.16556,51.4645,-0.170518,8.143322475570033,0.82
Rectory Road,235000,House,2511,4,4,4,London,SW13 0DX,Barnes,Barnes Bridge,51.4805,-0.243379,51.472,-0.252633,93.58821186778177,0.71
Thames Quay,209500,Flat / Apartment,1528,3,3,3,London,SW10 0UY,Chelsea,West Brompton,51.4755,-0.18036,51.487,-0.195185,137.10732984293193,1.02
Prince Edward Mansions,125000,Flat / Apartment,811,2,2,2,London,W2 4WA,Notting Hill,Paddington,51.5164,-0.2075,51.5155,-0.175365,154.13070283600493,1.38
Harbut Road,73500,Flat / Apartment,969,2,2,2,London,SW11 2RE,Battersea,Clapham Junction,51.4625,-0.17721,51.4645,-0.170518,75.85139318885449,0.32
Chasefield Road,87500,House,1132,4,4,4,London,SW17 8LW,Tooting,Tooting,51.4964,-0.236521,51.4278,-0.167967,77.29681978798587,5.58
Fernwood Avenue,125000,House,2498,6,6,6,London,SW16 1RD,Streatham,Streatham,51.4887,-0.244071,51.4298,-0.131111,50.0400320256205,6.34
Havilland Mews,59500,Flat / Apartment,643,2,2,2,London,W12 8BG,Shepherds Bush,Shepherds Bush,51.511,-0.2333,51.5053,-0.222986,92.53499222395023,0.59
St. Davids Mews,82000,House,974,3,3,3,London,E3 5AZ,Bow,Bromley-by-Bow,51.5269,-0.03573,51.5246,-0.012319,84.18891170431212,1.02
Chester Close South,83000,Flat / Apartment,850,2,2,2,London,NW1 4JG,Camden,Camden Town,51.5282,-0.14501,51.5423,-0.13956,97.6470588235294,1.0
Lady Somerset Road,50000,Flat / Apartment,458,1,1,1,London,NW5 1TX,Kentish Town,Gospel Oak,51.5547,-0.1428,51.5555,-0.151577,109.17030567685589,0.38
The Chase,48000,Flat / Apartment,448,1,1,1,London,SW4 0NP,Clapham,Clapham Common,51.4622,-0.13,51.4621,-0.137359,107.14285714285714,0.32
Weymouth Mews,350000,House,1763,4,4,4,London,W1G 7EB,Marylebone,Oxford Circus,51.5167,-0.1424,51.5153,-0.142008,198.52524106636415,0.1
Portland Place,210000,Flat / Apartment,1208,3,3,3,London,W1B 1NX,Marylebone,Oxford Circus,51.5143,-0.1416,51.5153,-0.142008,173.841059602649,0.07
Ternary Place,65000,New development,1023,2,2,2,London,W5 3HJ,Ealing,Ealing Broadway,51.5065,-0.3164,51.515,-0.300407,63.5386119257087,0.9
Lysias Road,130000,House,1890,5,5,5,London,SW12 8BW,Balham,Balham,51.4505,-0.15168,51.4452,-0.1517,68.78306878306879,0.37
Prince Henry Road,62500,House,1348,4,4,4,London,SE7 8PP,Kidbrooke,Charlton,51.4761,0.0401,51.4861,0.0301,46.36498516320475,0.81
Kirby Street,62500,Flat / Apartment,540,1,1,1,London,EC1N 8TE,Clerkenwell,Chancery Lane,51.52,-0.10736,51.5181,-0.11236,115.74074074074075,0.25
Great Peter Street,110000,New development,791,2,2,2,London,SW1P 2BN,Westminster,Victoria,51.4965,-0.134746,51.4952,-0.1445,139.0644753476612,0.43
Chatto Road,132500,House,1375,4,4,4,London,SW11 6LL,Battersea,Clapham Junction,51.4558,-0.16043,51.4645,-0.170518,96.36363636363636,0.74
Redcliffe Square,125000,Flat / Apartment,1068,2,2,2,London,SW10 9JY,Chelsea,West Brompton,51.4884,-0.18888,51.487,-0.195185,117.04119850187266,0.29
Elm Park Lane,230000,House,1119,3,3,3,London,SW3 6DB,Chelsea,South Kensington,51.4935,-0.1655,51.494,-0.173044,205.54066130473637,0.33
Fassett Square,150000,House,1811,4,4,4,London,E8 1DQ,Hackney,Hackney Downs,51.5469,-0.06559,51.5486,-0.060686,82.82716731087797,0.24
Haverhill Road,135000,House,1603,5,5,5,London,SW12 0HD,Balham,Balham,51.4439,-0.14144,51.4452,-0.1517,84.2170929507174,0.45
St. Stephens Crescent,79500,Flat / Apartment,495,1,1,1,London,W2 5QT,Paddington,Paddington,51.5153,-0.2118,51.5155,-0.175365,160.6060606060606,1.57
Ackmar Road,259500,House,2120,5,5,5,London,SW6 4UP,Fulham,Imperial Wharf,51.4696,-0.197,51.4751,-0.182927,122.40566037735849,0.72
Romney House,82000,Flat / Apartment,631,2,2,2,London,SW1P 3DS,Westminster,Victoria,51.4932,-0.130562,51.4952,-0.1445,129.95245641838352,0.62
