@relation 'london_housing_with_stations-weka.filters.unsupervised.attribute.Remove-R1,5-10,12-15-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute price_per_sqft numeric
@attribute distance_miles numeric

@data
'Flat / Apartment',1099,150.136488,0.56
'Flat / Apartment',726,117.07989,1.11
House,1791,150.753769,1.31
House,795,87.421384,0.79
House,1293,158.546017,0.21
'Flat / Apartment',972,63.271605,0.52
'Flat / Apartment',1777,5.627462,2.03
'Flat / Apartment',526,59.885932,0.17
'New development',1328,139.307229,0.32
House,1289,224.592708,0.4
'Flat / Apartment',459,98.039216,0.67
'Flat / Apartment',949,71.127503,5.54
House,1068,130.617978,0.52
'Flat / Apartment',858,84.498834,1.11
House,2525,7.920792,1.58
'Flat / Apartment',664,94.126506,0.21
House,1328,101.656627,0.83
House,2191,95.846645,0.64
House,1892,97.780127,0.42
'Flat / Apartment',1132,132.508834,1.13
House,2190,165.525114,0.76
'Flat / Apartment',1274,117.739403,0.84
'Flat / Apartment',630,83.333333,1.32
'Flat / Apartment',455,63.736264,0.16
House,2931,58.853634,2.03
House,1510,92.384106,0.69
House,1504,222.739362,0.76
House,2067,86.840832,2.03
House,1997,75.112669,0.31
House,2149,74.453234,3.61
House,3620,42.81768,6.34
'Flat / Apartment',1195,110.878661,0.8
House,1587,87.901701,0.41
'Flat / Apartment',849,86.572438,0.23
'Flat / Apartment',2550,58.823529,0.45
'Flat / Apartment',832,81.610577,0.33
'Flat / Apartment',1244,120.578778,0.64
House,1604,84.164589,2.04
'New development',723,86.445367,0.69
'Flat / Apartment',660,90.909091,1.18
'Flat / Apartment',627,139.553429,0.62
'Flat / Apartment',872,64.793578,0.4
'Flat / Apartment',1201,104.079933,0.96
'Flat / Apartment',1453,123.881624,0.93
'New development',1781,83.941606,0.44
House,3800,81.578947,0.59
'Flat / Apartment',1831,57.345713,0.69
House,2503,73.911306,0.62
'Flat / Apartment',1061,68.803016,0.75
'Flat / Apartment',736,88.315217,5.43
House,2438,86.136177,0.5
House,2600,86.538462,0.95
House,1867,90.787359,0.59
House,1884,72.983015,0.77
House,2138,65.481759,3.54
'Flat / Apartment',927,68.500539,2.04
Penthouse,1845,162.330623,0.17
'Flat / Apartment',526,855.418251,0.17
'Flat / Apartment',474,89.662447,0.4
House,1902,94.374343,2.04
'Flat / Apartment',801,199.750312,0.62
'Flat / Apartment',1002,174.650699,0.58
House,2275,90.10989,0.76
'Flat / Apartment',1371,83.880379,0.45
House,2446,40.678659,0.25
House,1703,111.567821,0.9
'Flat / Apartment',792,85.227273,0.48
'New development',1273,117.831893,0.27
'New development',786,78.880407,0.76
'Flat / Apartment',747,87.014726,0.97
'Flat / Apartment',663,75.414781,0.67
House,2006,69.541376,0.45
House,3597,82.012788,0.58
'New development',841,90.963139,2.07
House,1854,86.299892,0.48
House,1126,86.589698,0.49
'Flat / Apartment',1294,73.415765,0.69
House,1582,135.903919,0.18
Penthouse,1840,160.326087,0.21
House,1115,134.529148,0.57
'Flat / Apartment',882,73.696145,0.43
House,1700,55.882353,6.36
'Flat / Apartment',663,94.268477,0.22
House,1983,79.425113,1.48
House,1266,201.421801,0.38
'Flat / Apartment',707,74.257426,0.49
'Flat / Apartment',967,80.144778,0.16
House,2210,147.058824,2.13
House,2153,82.443103,0.99
House,2543,127.801809,0.91
'Flat / Apartment',797,87.82936,1.08
'Flat / Apartment',760,78.289474,1
'Flat / Apartment',540,97.222222,2.04
House,3007,81.476555,0.44
House,538,102.230483,0.16
House,6186,63.853864,0.35
'Flat / Apartment',1024,58.59375,3.73
House,1984,73.084677,3.31
'Flat / Apartment',745,24.161074,0.61
Studio,328,64.02439,2.03
House,8315,21.647625,0.41
House,2857,99.754988,0.71
'Flat / Apartment',1074,107.07635,0.59
'New development',596,115.771812,0.27
'Flat / Apartment',999,99.5996,0.82
Penthouse,962,10.39501,2.05
House,2358,80.57676,0.25
House,1813,71.428571,0.36
'Flat / Apartment',1169,109.495295,0.27
House,2028,70.266272,0.41
House,1720,104.360465,0.78
House,1423,79.058327,0.31
'Flat / Apartment',1001,94.405594,0.99
House,2809,112.139551,0.64
House,1420,89.788732,0.4
House,2428,154.448105,0.71
'Flat / Apartment',431,106.728538,0.19
House,2096,80.868321,2.1
'Flat / Apartment',769,117.035111,0.41
'Flat / Apartment',1155,103.896104,0.93
House,1607,68.450529,0.1
'New development',646,100.619195,0.92
House,3716,79.386437,0.23
House,953,62.959077,0.79
House,2313,105.923044,0.79
'Flat / Apartment',939,82.534611,3.6
'Flat / Apartment',652,95.858896,0.13
Studio,344,85.755814,0.74
House,1519,154.707044,0.23
House,1299,173.210162,0.67
'Flat / Apartment',451,110.643016,0.42
'Flat / Apartment',1339,63.480209,0.49
House,1340,186.567164,0.53
Penthouse,1765,127.478754,0.96
'Flat / Apartment',1752,142.694064,0.4
'New development',560,84.821429,0.06
'New development',657,85.235921,0.76
'New development',758,80.474934,0.76
'New development',758,79.155673,0.76
'Flat / Apartment',658,91.18541,0.51
'Flat / Apartment',848,76.650943,0.61
House,1824,98.410088,0.5
'Flat / Apartment',843,97.864769,0.81
House,3180,73.899371,0.36
'Flat / Apartment',2577,91.191308,0.63
'Flat / Apartment',1498,166.889186,0.39
'Flat / Apartment',946,71.353066,5.53
'Flat / Apartment',932,128.755365,0.87
'Flat / Apartment',663,94.268477,0.06
'Flat / Apartment',600,75,0.94
House,3070,112.37785,1.07
'Flat / Apartment',908,109.581498,0.55
'Flat / Apartment',1536,51.757813,0.68
House,2336,75.984589,0.68
Studio,277,106.498195,0.18
'Flat / Apartment',1779,146.149522,0.07
House,1917,206.051122,1.59
