@relation 'london_housing_with_stations-weka.filters.unsupervised.attribute.Remove-R1,5-10,12-15-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute price_per_sqft numeric
@attribute distance_miles numeric

@data
'Flat / Apartment',947,87.117212,2.06
'Flat / Apartment',879,135.949943,0.66
'Flat / Apartment',1061,117.813384,0.67
'Flat / Apartment',1225,110.204082,1.1
'New development',542,101.476015,0.32
'Flat / Apartment',677,145.49483,0.38
'Flat / Apartment',482,109.958506,0.39
House,2968,141.509434,0.93
House,1340,102.61194,1.15
'Flat / Apartment',707,81.329562,0.13
House,2740,107.664234,0.26
House,3156,102.978454,1.24
House,1989,45.248869,6.35
'Flat / Apartment',517,58.027079,1.07
'New development',577,88.388215,0.06
'Flat / Apartment',302,115.89404,1.02
'Flat / Apartment',981,89.194699,0.39
House,2642,41.445874,2.03
House,3256,102.886978,0.25
House,1723,78.351712,3.49
'Flat / Apartment',817,116.27907,0.55
'Flat / Apartment',1013,96.248766,0.96
House,2530,156.126482,0.21
'Flat / Apartment',650,73.076923,1.22
'Flat / Apartment',881,66.401816,0.94
House,2223,78.722447,0.75
House,1258,75.516693,0.56
'Flat / Apartment',683,133.235725,0.84
'Flat / Apartment',758,92.348285,0.83
House,1419,89.852008,0.63
'Flat / Apartment',549,77.413479,0.81
House,2432,12.335526,0.13
'Flat / Apartment',990,78.282828,2.04
House,2088,88.601533,0.61
'New development',560,115.892857,1.05
'Flat / Apartment',806,496.215881,0.6
'Flat / Apartment',527,94.87666,0.48
House,1705,63.636364,0.3
House,1679,94.997022,0.2
House,2084,71.976967,0.23
House,4050,69.135802,6.33
House,2685,100.558659,1.39
House,1301,88.393543,1.17
House,2406,102.86783,1.25
'Flat / Apartment',1181,249.788315,1.26
'Flat / Apartment',683,87.115666,0.72
House,1892,79.016913,0.66
'Flat / Apartment',693,90.18759,0.39
House,2048,80.566406,0.35
'New development',666,78.828829,0.07
'Flat / Apartment',992,80.645161,0.13
House,1716,57.983683,5.41
House,634,122.239748,0.49
House,2287,69.74202,3.5
'Flat / Apartment',1438,104.311544,3.37
'Flat / Apartment',1550,241.935484,1.15
'Flat / Apartment',1039,86.14052,3.33
Duplex,890,73.033708,0.27
House,1918,72.732013,0.25
'New development',547,100.548446,1.09
House,1378,112.481858,1.38
'Flat / Apartment',1752,162.671233,1.07
'Flat / Apartment',2557,87.993743,0.71
'New development',807,73.729864,0.9
House,1758,69.681456,0.47
'Flat / Apartment',2264,59.628975,0.66
'New development',773,70.504528,0.3
House,1668,71.642686,0.53
'Flat / Apartment',1030,130.582524,1.7
'Flat / Apartment',1145,122.270742,1.09
'Flat / Apartment',1232,142.045455,1.99
House,1844,127.440347,0.89
'Flat / Apartment',1142,94.1331,0.11
House,1637,82.467929,0.91
'Flat / Apartment',1348,166.913947,0.38
House,1761,80.919932,1.14
'Flat / Apartment',527,82.542694,1.2
House,3300,89.393939,0.98
'New development',904,71.349558,0.9
House,2413,103.60547,0.23
House,1585,75.709779,0.16
House,1891,92.543628,0.98
'Flat / Apartment',924,78.463203,0.17
House,780,108.974359,0.77
House,2600,86.5,0.76
'Flat / Apartment',598,79.431438,3.45
'New development',558,94.086022,3.47
'Flat / Apartment',400,92.5,0.14
'Flat / Apartment',2132,117.260788,0.44
House,2046,77.956989,0.48
'Flat / Apartment',764,93.586387,0.36
'Flat / Apartment',978,100.715746,0.19
Penthouse,1518,319.499341,0.31
'Flat / Apartment',420,83.333333,0.62
House,3467,93.740986,0.25
'New development',1236,175.242718,0.41
'New development',577,83.188908,0.06
'Flat / Apartment',869,94.936709,0.68
'New development',2768,106.575145,0.86
'Flat / Apartment',784,74.617347,0.54
House,2041,145.761881,0.31
'New development',982,91.547862,0.49
House,2401,145.772595,0.15
'Flat / Apartment',736,74.728261,1.01
House,1595,83.0721,0.15
House,2850,84.210526,0.41
House,3525,70.921986,5.59
'Flat / Apartment',1302,88.325653,1.02
'New development',1023,53.763441,2.48
'Flat / Apartment',753,91.633466,0.46
'Flat / Apartment',949,123.814542,0.33
House,2222,9.0009,0.39
House,1223,73.589534,0.66
House,1061,82.469369,0.56
House,1938,87.4613,0.24
'Flat / Apartment',960,88.020833,0.24
House,1213,70.074196,0.88
'Flat / Apartment',1509,215.37442,1.26
'Flat / Apartment',1239,141.242938,0.6
'New development',562,97.864769,1.07
'Flat / Apartment',1309,80.213904,0.33
'Flat / Apartment',945,115.873016,0.07
'Flat / Apartment',985,111.675127,0.35
'Flat / Apartment',2427,12.360939,0.42
House,2416,88.990066,0.87
House,2129,84.546736,0.3
House,1248,103.766026,0.36
House,2137,52.643893,5.4
House,1556,65.874036,0.24
House,2346,71.398124,5.57
House,3251,84.589357,0.5
'Flat / Apartment',670,74.626866,0.47
House,2638,95.526914,0.29
'Flat / Apartment',1023,84.55523,0.36
'Flat / Apartment',875,80,1.22
House,1295,104.247104,0.62
'Flat / Apartment',1215,283.950617,0.77
'Flat / Apartment',1066,72.701689,3.28
House,1697,70.418385,3.86
Penthouse,1200,60.416667,0.2
'Flat / Apartment',606,115.511551,0.6
'Flat / Apartment',796,87.311558,0.44
'Flat / Apartment',827,157.073761,0.13
House,1894,77.877508,2.13
House,3336,88.429257,2.06
'Flat / Apartment',570,78.947368,0.22
'Flat / Apartment',672,81.845238,0.53
'Flat / Apartment',1297,173.477255,0.21
'Flat / Apartment',667,97.451274,0.93
House,900,94.444444,0.66
'Flat / Apartment',1027,80.331061,0.54
House,1678,110.250298,1.18
'Flat / Apartment',1390,125.899281,0.44
House,3100,101.612903,0.26
'Flat / Apartment',752,158.909574,0.37
'Flat / Apartment',973,97.636177,0.85
'New development',817,128.518972,1.05
'New development',4453,87.469122,0.18
'Flat / Apartment',502,84.661355,0.46
'Flat / Apartment',670,65.522388,2.03
House,2742,164.113786,1.54
House,1327,113.036925,0.74
'Flat / Apartment',513,121.832359,0.29
'Flat / Apartment',565,76.99115,1.25
'Flat / Apartment',743,114.401077,0.46
House,3125,86.24,0.27
House,2389,94.181666,0.83
House,2033,83.620266,0.54
House,2160,159.722222,0.4
House,3098,104.906391,1.34
'Flat / Apartment',650,100,0.74
'Flat / Apartment',981,142.201835,0.83
'Flat / Apartment',705,67.375887,3.59
House,1810,69.060773,2.09
House,1468,78.337875,2.12
'Flat / Apartment',815,85.276074,3.82
House,2325,90.322581,0.96
'Flat / Apartment',838,89.498807,0.15
House,1456,96.085165,0.45
Penthouse,1774,267.756483,0.18
House,1969,115.540884,0.77
House,2707,73.69782,0.41
House,1109,81.064022,0.5
House,2050,76.829268,0.45
'Flat / Apartment',655,129.770992,0.25
House,1683,74.272133,0.26
House,3391,110.586848,0.99
House,1423,69.922699,1.18
House,1163,73.086844,0.25
'Flat / Apartment',1898,126.448894,0.65
House,1334,65.592204,5.39
'Flat / Apartment',602,112.126246,0.37
'Flat / Apartment',953,77.124869,0.31
'Flat / Apartment',1082,85.489834,0.15
House,2547,51.04044,0.57
House,2212,108.273056,0.64
'Flat / Apartment',675,74.074074,0.97
House,2241,113.788487,1.12
'New development',721,83.217753,1.16
'Flat / Apartment',702,84.045584,0.88
House,674,81.602374,1.44
House,1716,96.153846,0.11
House,1700,73.529412,0.71
'Flat / Apartment',830,72.168675,0.44
House,1800,73.611111,0.22
'Flat / Apartment',1862,72.502685,0.66
House,1681,72.87329,0.69
'Flat / Apartment',779,83.440308,0.54
House,2607,172.420407,0.37
'Flat / Apartment',461,100.867679,2.1
'Flat / Apartment',1155,90.909091,0.34
'Flat / Apartment',684,95.02924,0.42
'Flat / Apartment',928,83.512931,0.38
'Flat / Apartment',676,92.455621,1.1
'Flat / Apartment',1405,128.113879,0.36
'Flat / Apartment',1368,56.652047,0.32
'New development',2875,71.304348,1.26
'Flat / Apartment',936,82.799145,1.62
'Flat / Apartment',1258,70.349762,5.47
House,2803,85.622547,0.86
House,1388,59.43804,0.35
House,1566,71.83908,3.88
House,1306,7.656968,3.27
'Flat / Apartment',670,52.238806,0.64
House,1831,196.613872,0.19
House,2202,93.097184,0.98
Duplex,992,77.116935,0.32
'Flat / Apartment',1101,152.134423,0.27
'Flat / Apartment',1002,137.225549,0.71
Mews,993,135.951662,0.3
House,2285,168.490153,0.15
House,2537,98.541585,0.78
House,4653,99.935525,0.74
'Flat / Apartment',1902,197.160883,0.38
House,1338,78.475336,0.56
House,2200,80.681818,0.46
'New development',773,71.151358,0.3
House,2953,91.432442,0.75
'Flat / Apartment',580,689.568966,0.67
'New development',545,109.174312,2.07
House,2988,107.095047,0.53
'Flat / Apartment',778,86.760925,0.56
'New development',864,88.541667,0.14
'Flat / Apartment',1428,56.022409,1.24
'Flat / Apartment',651,128.264209,0.39
'Flat / Apartment',1160,206.465517,0.43
House,1738,186.996548,0.15
'New development',1451,206.064783,0.85
House,4225,42.60355,0.39
House,2800,82.142857,0.53
'New development',429,133.566434,0.17
'Flat / Apartment',704,118.607955,0.3
House,2354,93.457944,0.47
'Flat / Apartment',680,102.941176,0.35
'Flat / Apartment',1711,162.185856,0.36
'Flat / Apartment',1076,69.702602,0.46
House,1538,77.698309,1.3
House,2173,65.577543,3.74
'Flat / Apartment',420,90.47619,0.12
House,2149,9.306654,2.04
House,1875,79.466667,5.46
House,2364,74.027073,0.91
'New development',818,86.797066,0.37
'New development',810,112.962963,1.05
House,2078,9.624639,0.35
'Flat / Apartment',495,85.858586,0.65
'Flat / Apartment',1186,88.532884,0.5
House,1906,60.335782,1.07
House,2100,86.904762,0.33
House,1795,73.816156,0.29
House,1950,74.358974,0.08
House,1112,80.485612,0.45
'Flat / Apartment',853,64.478312,0.88
'Flat / Apartment',500,110,0.67
House,1261,83.267248,0.53
House,2637,104.285173,1.68
House,2061,86.608443,0.89
Studio,332,135.542169,0.37
'Flat / Apartment',515,72.815534,0.61
'New development',1688,11.848341,1.05
House,1828,87.253829,0.8
'Flat / Apartment',780,76.923077,0.51
House,1310,75.954198,0.29
House,1355,77.490775,0.39
'Flat / Apartment',990,139.89899,0.59
'Flat / Apartment',1106,58.770344,0.51
'Flat / Apartment',525,71.428571,0.44
House,1168,76.969178,2.04
House,1055,94.312796,2.11
House,2368,71.579392,2.05
'Flat / Apartment',815,60.736196,2.14
'Flat / Apartment',665,116.541353,1.35
'Flat / Apartment',1582,72.692794,0.49
House,4102,107.264749,0.66
House,2362,97.375106,0.89
'New development',983,78.840285,0.65
'Flat / Apartment',676,92.455621,0.56
House,1496,86.898396,0.24
House,540,97.222222,0.11
'New development',581,90.361446,1.26
House,1648,100.121359,0.1
'Flat / Apartment',936,67.84188,0.24
House,1884,82.271762,0.8
Penthouse,1190,8.403361,0.98
'Flat / Apartment',779,170.089859,0.12
'Flat / Apartment',1023,92.864125,0.89
House,1580,72.78481,1.45
'New development',989,80.384226,0.65
'Flat / Apartment',911,126.234907,0.32
House,2000,72.5,0.32
House,2328,66.580756,0.45
Penthouse,1127,64.773736,2.48
House,1010,85.148515,0.51
'Flat / Apartment',960,130.208333,0.39
House,1940,66.752577,2.1
'Flat / Apartment',1452,40.977961,2.03
House,1875,85.333333,0.91
'New development',2694,148.292502,0.43
House,2011,14.917951,0.57
House,2907,85.999312,0.31
House,1263,93.032462,0.24
House,2360,88.983051,1.15
'Flat / Apartment',1181,63.082134,0.69
'Flat / Apartment',468,119.65812,0.44
House,3831,63.951971,0.31
House,4569,50.22981,0.51
House,2443,98.035203,0.74
Penthouse,1600,78.125,0.36
'Flat / Apartment',1254,67.783094,0.6
House,1522,195.466491,0.49
House,2472,32.160194,2.03
House,1297,64.379337,3.33
House,3709,94.365058,0.91
House,4095,85.470085,0.91
'Flat / Apartment',833,87.635054,0.75
House,1643,234.32745,0.6
House,1298,92.449923,0.23
House,1206,87.064677,0.29
'Flat / Apartment',794,62.972292,0.47
'Flat / Apartment',1034,55.609284,1.52
'Flat / Apartment',741,77.597841,1.02
'Flat / Apartment',759,592.819499,0.99
House,2311,114.668974,0.21
'Flat / Apartment',492,101.626016,0.49
House,1248,84.134615,0.69
'Flat / Apartment',640,98.28125,0.52
House,2099,80.514531,0.77
Studio,297,129.62963,0.49
'Flat / Apartment',963,150.571132,0.38
'Flat / Apartment',1189,147.182506,0.61
Studio,680,66.176471,0.87
'New development',1023,56.207234,2.48
'New development',558,103.046595,1.26
'Flat / Apartment',786,61.704835,1.01
'New development',678,51.622419,0.49
'Flat / Apartment',564,88.652482,0.67
House,1981,73.195356,5.44
House,2188,91.179159,0.45
House,1962,63.710499,3.52
House,2266,77.228597,3.73
House,2485,67.404427,3.76
House,1958,86.823289,0.14
House,2565,81.871345,2.03
'Flat / Apartment',836,119.019139,0.66
'Flat / Apartment',439,99.088838,0.83
'Flat / Apartment',793,71.248424,0.53
Mews,1568,92.47449,0.91
'New development',1446,207.123098,0.41
'New development',1163,214.531384,0.41
House,2599,117.352828,1.07
House,1669,86.87837,3.78
House,2136,67.883895,3.61
House,2270,72.687225,2.04
'New development',1693,11.813349,1.05
'Flat / Apartment',1003,89.631107,1.22
'Flat / Apartment',1351,103.552924,0.66
'Flat / Apartment',1253,99.760575,0.74
House,1018,78.585462,0.39
House,4056,67.800789,5.59
'Flat / Apartment',877,74.116306,6.34
'New development',695,70.503597,0.34
House,2607,101.649405,0.52
House,3797,70.977087,0.68
House,2503,75.709149,3.67
'Flat / Apartment',1236,88.996764,3.45
'Flat / Apartment',729,73.388203,0.44
'Flat / Apartment',849,64.782097,0.44
'Flat / Apartment',875,95.428571,0.99
'Flat / Apartment',1438,131.78025,0.1
House,1889,174.695606,0.31
'New development',930,66.666667,0.35
'New development',832,69.711538,0.35
'New development',840,70.238095,0.35
House,1163,105.33104,0.13
House,1389,61.195104,0.44
House,2441,56.329373,0.58
House,2766,66.883586,0.47
'New development',904,69.690265,0.9
'New development',776,83.762887,0.65
'Flat / Apartment',531,122.410546,0.31
'Flat / Apartment',939,101.171459,0.69
House,1705,99.41349,1.32
House,1098,71.493625,1.09
House,2028,71.499014,0.39
House,2336,76.840753,0.7
'Flat / Apartment',1677,172.927847,0.66
House,3235,52.395672,2.05
'Flat / Apartment',983,58.494405,0.44
'Flat / Apartment',942,67.409766,0.42
'New development',1688,124.407583,1.05
House,2150,55.581395,0.96
'Flat / Apartment',1134,154.320988,0.26
'Flat / Apartment',637,74.568289,0.61
House,1823,65.551289,5.48
House,1449,75.914424,0.32
House,2563,79.984393,0.19
House,2337,52.417629,6.36
'Flat / Apartment',620,68.548387,5.52
House,800,48.125,6.36
'Flat / Apartment',771,51.232166,6.34
'Flat / Apartment',771,68.093385,0.44
'Flat / Apartment',2339,117.571612,0.45
House,2358,59.160305,2.05
'Flat / Apartment',1156,172.577855,0.76
'New development',1462,126.538988,1.05
House,2561,62.475595,0.31
'New development',1008,250.396825,0.41
'New development',798,97.744361,2.07
'New development',2899,76.750604,1.26
'New development',581,94.664372,1.26
'Flat / Apartment',2245,207.126949,0.6
House,2894,108.845888,1.72
House,1179,79.304495,0.66
'Flat / Apartment',613,101.957586,0.81
'Flat / Apartment',1077,185.236769,0.28
'Flat / Apartment',399,137.844612,0.5
House,3318,78.360458,0.15
House,2087,103.018687,0.81
House,2001,89.955022,0.32
House,2390,58.368201,5.43
House,1370,80.291971,0.2
'Flat / Apartment',693,101.010101,0.39
House,1743,68.846816,3.85
House,2591,82.014666,3.8
'New development',1063,134.054563,1.05
'New development',1727,153.445281,1.07
'New development',870,89.08046,0.42
House,1980,71.969697,0.3
House,1727,65.141865,5.51
House,1407,63.610519,5.64
'Flat / Apartment',884,73.529412,6.34
House,1873,69.140416,0.37
'Flat / Apartment',1527,137.524558,0.54
House,2006,87.238285,0.71
'Flat / Apartment',807,86.741016,0.49
'Flat / Apartment',1669,134.811264,0.33
'Flat / Apartment',1171,64.047822,0.2
'Flat / Apartment',976,66.598361,0.51
House,1968,65.294715,3.77
'Flat / Apartment',692,86.705202,3.65
'Flat / Apartment',812,122.536946,0.21
'Flat / Apartment',533,84.427767,0.96
'New development',1150,343.478261,0.09
'New development',784,73.341837,0.99
House,1406,99.573257,0.11
'Flat / Apartment',398,1004.899497,1.05
'Flat / Apartment',970,69.587629,0.51
'New development',901,99.889012,3.39
'Flat / Apartment',1155,72.294372,0.19
'Flat / Apartment',815,92.02454,0.23
'Flat / Apartment',761,86.070959,3.32
'Flat / Apartment',1041,95.581172,0.3
'Flat / Apartment',757,89.167768,1.15
'Flat / Apartment',946,66.067653,0.31
'Flat / Apartment',666,119.369369,0.08
'Flat / Apartment',813,102.091021,0.96
'Flat / Apartment',758,65.30343,0.63
House,1636,82.518337,0.67
'Flat / Apartment',764,52.356021,0.28
'Flat / Apartment',559,154.740608,0.22
House,1345,81.784387,0.51
House,2176,57.444853,0.65
'New development',1847,239.090417,0.41
'Flat / Apartment',1575,126.666667,1.32
'Flat / Apartment',694,90.057637,0.52
'Flat / Apartment',642,88.785047,0.61
'Flat / Apartment',595,75.630252,0.69
'Flat / Apartment',1042,66.698656,0.92
House,1791,76.772753,0.27
House,2302,67.332754,5.56
House,1929,111.456713,0.27
'Flat / Apartment',1660,105.421687,1.09
House,1685,65.281899,3.49
'Flat / Apartment',1172,84.897611,0.92
'Flat / Apartment',650,73.076923,3.59
'Flat / Apartment',696,71.12069,0.71
House,2605,68.90595,0.49
House,2001,89.705147,0.54
House,1519,88.874259,3.27
'Flat / Apartment',584,81.335616,0.05
House,947,73.917635,3.4
House,1986,79.305136,0.93
'Flat / Apartment',421,178.147268,0.1
'New development',1281,202.966432,0.21
'Flat / Apartment',1765,110.481586,0.2
'Flat / Apartment',852,140.84507,0.06
'Flat / Apartment',625,134.4,0.25
'Flat / Apartment',848,123.820755,0.11
'Flat / Apartment',862,11.600928,0.35
'Flat / Apartment',706,155.807365,0.28
'Flat / Apartment',794,100.755668,1
Penthouse,972,90.020576,0.42
'Flat / Apartment',1055,85.308057,0.38
'Flat / Apartment',1210,72.31405,0.36
House,2654,84.777694,0.46
House,2063,94.52254,0.5
'New development',474,100.21097,0.57
House,2235,111.856823,0.76
House,2014,84.160874,0.96
'New development',540,101.851852,0.32
House,1451,175.740868,0.27
'Flat / Apartment',983,70.701933,1.34
'Flat / Apartment',1323,54.799698,0.36
'Flat / Apartment',986,68.458418,2.04
Penthouse,1809,60.807076,0.16
'Flat / Apartment',566,79.5053,2.51
'Flat / Apartment',840,75.595238,0.17
House,2035,73.710074,1.09
House,3244,143.341554,0.4
'New development',734,94.686649,2.1
'Flat / Apartment',1115,77.578475,0.45
'Flat / Apartment',1300,91.923077,0.41
'Flat / Apartment',731,61.559508,0.27
'New development',639,74.334898,0.39
'Flat / Apartment',1021,68.560235,0.68
'Flat / Apartment',1454,127.235213,0.92
House,914,82.056893,0.52
House,586,115.187713,0.36
'Flat / Apartment',818,93.520782,0.76
'Flat / Apartment',789,79.214195,3.61
'Flat / Apartment',803,84.059776,1.08
House,1466,74.693042,5.55
'Flat / Apartment',1012,113.636364,0.74
'Flat / Apartment',1018,84.479371,0.58
'New development',1615,154.798762,0.62
House,3583,94.753,2.03
'Flat / Apartment',1077,111.420613,0.35
'Flat / Apartment',947,62.829989,0.45
'Flat / Apartment',402,93.283582,0.32
House,2626,68.545316,0.4
House,4180,65.789474,0.52
'Flat / Apartment',680,84.558824,3.7
House,2265,68.432671,3.75
'Flat / Apartment',1636,103.606357,1.75
'Flat / Apartment',514,116.731518,0.11
House,1450,84.482759,2.11
'New development',849,111.896349,0.57
'Flat / Apartment',635,145.669291,0.22
House,2056,79.036965,0.96
'Flat / Apartment',840,98.214286,5.46
'Flat / Apartment',1170,76.923077,5.53
'Flat / Apartment',790,69.620253,0.13
'Flat / Apartment',1186,126.475548,0.7
'Flat / Apartment',627,119.617225,0.78
'Flat / Apartment',1187,142.796967,0.67
'Flat / Apartment',929,102.260495,0.59
'Flat / Apartment',918,95.315904,1.24
House,1642,137.028015,0.66
House,3292,133.505468,0.66
'Flat / Apartment',466,944.098712,0.39
House,1669,107.549431,0.43
'Flat / Apartment',969,84.107327,0.09
House,1427,96.355992,0.18
'Flat / Apartment',1700,132.352941,0.41
'Flat / Apartment',1393,190.236899,0.34
'Flat / Apartment',732,65.57377,1.31
House,2827,69.862045,5.59
House,638,97.962382,0.37
House,2286,80.927384,0.2
House,2201,72.69423,0.21
'Flat / Apartment',553,723.318264,2.53
House,1628,82.923833,0.15
House,919,82.698585,1.22
House,1983,80.68583,0.63
'Flat / Apartment',373,134.048257,0.25
House,2200,106.818182,0.72
House,1476,89.769648,1.05
House,1707,79.086116,0.14
'Flat / Apartment',906,93.818985,0.07
Duplex,2024,74.110672,0.68
'New development',923,118.093174,0.82
'Flat / Apartment',1067,133.552015,0.87
House,1518,60.935441,1.1
House,1435,75.261324,0.45
'Flat / Apartment',942,116.772824,1.03
House,1523,6.565988,0.45
'Flat / Apartment',1717,145.602796,1.12
'Flat / Apartment',509,127.701375,0.44
'Flat / Apartment',815,61.349693,0.75
'Flat / Apartment',558,143.369176,0.44
'New development',580,196.551724,0.12
'Flat / Apartment',1969,109.192483,0.5
'Flat / Apartment',1415,14.134276,0.22
House,2366,62.341505,0.56
'Flat / Apartment',429,162.004662,0.1
Penthouse,1447,130.960608,0.26
'Flat / Apartment',750,78,1.33
House,1750,87.142857,0.4
'Flat / Apartment',1311,114.416476,0.59
House,4125,71.515152,0.38
House,3165,93.206951,0.2
House,1326,64.102564,0.46
'Flat / Apartment',714,73.529412,5.65
'Flat / Apartment',701,78.459344,0.39
House,1605,84.11215,0.23
'Flat / Apartment',753,109.561753,0.39
House,1271,46.420142,0.13
House,2042,80.803134,0.22
'Flat / Apartment',776,80.541237,1.04
'Flat / Apartment',789,95.057034,0.73
'Flat / Apartment',610,88.360656,0.8
House,1580,94.936709,0.51
House,3058,81.75278,0.32
'Flat / Apartment',886,168.735892,0.94
'Flat / Apartment',1058,103.969754,0.63
'Flat / Apartment',6049,4.959497,0.53
House,2938,91.729067,0.24
'Flat / Apartment',800,90.625,1.08
'Flat / Apartment',1303,130.46815,0.58
House,3564,93.995511,0.31
House,3070,118.892508,0.58
'Flat / Apartment',1471,88.03535,0.74
'Flat / Apartment',847,164.698937,0.11
'Flat / Apartment',1091,261.228231,0.2
'Flat / Apartment',531,88.512241,3.72
'Flat / Apartment',551,150.635209,0.39
House,1872,66.773504,0.89
'Flat / Apartment',836,107.057416,0.37
House,6713,11.917176,0.44
House,1443,57.172557,2.59
'Flat / Apartment',925,67.567568,0.15
'Flat / Apartment',1033,242.013553,1.93
'Flat / Apartment',1948,20.533881,1.82
'Flat / Apartment',2573,153.517295,0.31
'Flat / Apartment',722,93.490305,0.97
'Flat / Apartment',969,95.459236,0.23
House,1963,78.960774,0.15
'Flat / Apartment',969,73.78741,0.48
House,1869,88.282504,1.04
House,2314,114.520311,1.08
Penthouse,1249,68.054444,0.88
'Flat / Apartment',477,99.580713,0.92
'Flat / Apartment',1190,79.831933,0.57
House,1658,75.392039,3.66
House,2960,84.459459,0.28
Penthouse,2128,138.62782,1.82
'Flat / Apartment',1150,121.304348,0.58
Penthouse,1476,88.075881,0.61
'Flat / Apartment',947,108.236536,1.03
House,997,65.195587,1.19
House,1298,73.189522,0.06
'Flat / Apartment',572,87.412587,0.73
House,1125,106.666667,0.93
'Flat / Apartment',842,74.228029,0.74
House,1873,72.076882,3.66
'Flat / Apartment',1556,134.96144,0.32
House,2139,182.328191,0.64
'Flat / Apartment',1986,65.458207,0.4
'Flat / Apartment',693,105.339105,0.31
'Flat / Apartment',463,885.421166,0.24
'Flat / Apartment',983,74.771109,3.7
'Flat / Apartment',499,99.198397,0.76
'Flat / Apartment',898,97.438753,0.55
'Flat / Apartment',913,136.911281,0.36
'Flat / Apartment',870,80.45977,0.24
'Flat / Apartment',878,95.102506,1.15
'New development',920,86.956522,1.15
House,2006,97.208375,0.25
House,904,80.199115,1.12
'Flat / Apartment',802,112.219451,0.44
'Flat / Apartment',532,150.37594,0.41
House,2679,95.18477,0.34
'Flat / Apartment',676,99.852071,0.37
'Flat / Apartment',875,82.857143,3.53
'Flat / Apartment',2780,142.086331,0.32
House,2736,82.236842,0.8
House,3753,67.945643,5.61
'Flat / Apartment',465,93.548387,0.4
'Flat / Apartment',506,85.968379,1.23
'Flat / Apartment',747,133.199465,0.4
'Flat / Apartment',1315,117.870722,0.73
House,2600,138.461538,0.47
'Flat / Apartment',709,105.782793,0.68
'Flat / Apartment',581,117.039587,0.55
House,1428,97.689076,1.02
'Flat / Apartment',745,77.181208,0.91
House,3595,74.408901,0.52
'Flat / Apartment',2288,96.153846,0.64
House,1447,158.949551,0.25
House,1162,44.75043,1.5
House,1140,76.754386,5.64
Penthouse,579,127.806563,0.82
'Flat / Apartment',699,75.107296,3.72
'Flat / Apartment',897,139.3534,0.8
House,1236,64.320388,5.41
'Flat / Apartment',683,136.896047,0.35
'Flat / Apartment',678,78.908555,0.74
House,2055,97.080292,0.68
House,2996,60.080107,1.13
House,1030,72.815534,6.35
'New development',905,158.01105,0.77
'Flat / Apartment',1197,125.313283,0.18
House,2408,78.488372,0.14
'Flat / Apartment',1364,145.894428,0.49
'Flat / Apartment',1109,74.391344,0.76
'Flat / Apartment',779,67.394095,0.36
'Flat / Apartment',635,114.173228,0.47
'Flat / Apartment',1436,62.674095,0.45
House,4642,86.062042,0.27
House,1495,81.939799,0.5
House,2259,52.014166,3.92
'Flat / Apartment',551,90.744102,0.46
'Flat / Apartment',1677,104.353011,0.69
'Flat / Apartment',1550,135.483871,1.12
'Flat / Apartment',1318,127.84522,0.84
'Flat / Apartment',759,72.463768,0.44
'Flat / Apartment',412,105.582524,0.65
'Flat / Apartment',420,103.571429,0.65
'New development',1206,95.356551,3.43
'Flat / Apartment',1168,145.119863,0.55
'Flat / Apartment',508,98.425197,0.76
'Flat / Apartment',907,93.715546,0.65
'Flat / Apartment',1350,71.851852,1.27
House,1642,100.487211,1.14
'Flat / Apartment',663,71.644042,0.32
'Flat / Apartment',1050,100,0.21
House,1770,98.870056,1.14
'Flat / Apartment',477,157.232704,0.58
'Flat / Apartment',607,95.551895,0.62
'New development',1100,152.727273,0.77
'Flat / Apartment',802,155.860349,0.22
'Flat / Apartment',1387,50.468637,0.55
'Flat / Apartment',1175,70.212766,0.2
'Flat / Apartment',953,110.178384,0.83
'Flat / Apartment',720,79.861111,3.64
'Flat / Apartment',617,117.504052,0.4
'Flat / Apartment',472,111.228814,1.47
'Flat / Apartment',1019,157.016683,0.83
House,2326,66.638005,3.75
'Flat / Apartment',1176,63.77551,3.54
House,987,96.251266,0.49
House,2223,191.183086,0.42
'Flat / Apartment',730,97.260274,2.05
'Flat / Apartment',569,702.97891,2.21
'Flat / Apartment',814,64.496314,0.97
'New development',2967,84.260195,0.29
'Flat / Apartment',698,136.103152,0.71
House,1510,81.125828,0.15
'Flat / Apartment',678,103.244838,0.65
'New development',1081,200.740056,0.77
'Flat / Apartment',709,88.857546,0.42
House,1565,102.236422,0.66
'Flat / Apartment',626,75.878594,3.84
'Flat / Apartment',481,103.950104,0.25
'Flat / Apartment',358,153.631285,0.12
House,4862,89.469354,1.6
'Flat / Apartment',1173,66.069906,0.4
House,1909,70.455736,2.04
House,2978,75.554063,2.04
'Flat / Apartment',752,66.489362,0.5
'Flat / Apartment',1192,134.228188,1.7
'Flat / Apartment',578,89.100346,3.41
'Flat / Apartment',693,71.428571,3.62
House,1541,96.365996,0.8
House,2034,179.449361,0.6
Penthouse,896,92.075893,0.94
'Flat / Apartment',1021,66.111655,0.41
'Flat / Apartment',854,70.257611,0.75
Penthouse,594,66.498316,2.15
'Flat / Apartment',862,92.227378,0.33
'Flat / Apartment',1768,76.357466,0.79
'Flat / Apartment',2147,167.675827,0.36
