@relation 'weka_london_housing_with_stations_crimerate-weka.filters.unsupervised.attribute.Remove-R1-2,5-10,12-15'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute nearest_station {Wimbledon,'Old Street','Putney Bridge',Paddington,'Clapham Junction','Imperial Wharf','High Street Kensington',Tooting,Highgate,'St. Johns Wood',Hampstead,Brixton,Angel,'West Hampstead','Earls Court',Balham,'Chiswick Park','West Brompton','Barnes Bridge','Clapham Common',Homerton,Hornsey,Streatham,'Shepherds Bush',Bromley-by-Bow,'Camden Town','Gospel Oak','Oxford Circus','Ealing Broadway',Charlton,'Chancery Lane',Victoria,'South Kensington','Hackney Downs',Hammersmith,'Maida Vale','Golders Green',Temple,Mortlake,Vauxhall,'Wandsworth Town','Ladbroke Grove',Barbican,'London Bridge','Piccadilly Circus','West Kensington',Canonbury,'Bethnal Green','Woolwich Arsenal','Canary Wharf',Kennington,'Caledonian Road & Barnsbury','Aldgate East','West Ealing','Russell Square','Tower Gateway','Raynes Park','Leicester Square','Bond Street',Cricklewood,'Finsbury Park',Greenwich,'Canada Water','Goodge Street','Charing Cross','Acton Central','Green Park','West Dulwich','Mill Hill East',Farringdon,Hanwell,'Royal Victoria','Latimer Road','Liverpool Street',Moorgate,'Hackney Central',Westminster,'Peckham Rye',Chingford,'East Finchley','Dalston Junction',Blackfriars,Blackheath,'Covent Garden',Lewisham,Stratford,'Kew Bridge',Bank}
@attribute price_per_sqft numeric
@attribute distance_miles numeric
@attribute no_of_crimes_per_year numeric

@data
House,1629,Canonbury,82.872928,1.12,31164
'Flat / Apartment',1069,Angel,84.190833,1.06,31164
House,2500,'Caledonian Road & Barnsbury',110,0.24,31164
House,2730,'Imperial Wharf',106.043956,0.86,22068
House,2949,'Imperial Wharf',76.29705,0.58,22068
'New development',1262,'Imperial Wharf',160.063391,0.77,22068
House,1308,Tooting,74.541284,5.4,28092
House,2790,Tooting,57.168459,5.62,28092
'Flat / Apartment',978,'Old Street',86.912065,0.24,38568
'Flat / Apartment',682,'Shepherds Bush',83.577713,1.44,22068
House,2411,Highgate,99.543758,0.25,29436
'Flat / Apartment',496,Greenwich,95.766129,2.91,28476
House,1934,'Putney Bridge',62.04757,2.03,28092
House,4370,Wimbledon,74.370709,0.68,28092
House,2153,Angel,110.311194,0.39,31164
'Flat / Apartment',595,'St. Johns Wood',109.243697,0.4,76860
House,876,'Putney Bridge',147.83105,2.07,28092
House,905,'Putney Bridge',11.049724,2.11,28092
'Flat / Apartment',1675,'Clapham Junction',112.537313,1.09,28092
'Flat / Apartment',797,Wimbledon,79.673777,0.31,28092
'New development',4420,'Raynes Park',79.072398,0.51,28092
House,1378,'Wandsworth Town',87.082729,3.28,28092
House,1751,'Wandsworth Town',68.532267,1.25,28092
House,2330,'Wandsworth Town',68.669528,3.56,28092
House,1214,'Putney Bridge',65.815486,2.06,28092
'Flat / Apartment',876,'Putney Bridge',97.031963,2.06,28092
House,1323,'Oxford Circus',188.964475,0.7,76860
House,2547,Paddington,155.084413,0.36,76860
House,1393,Victoria,215.003589,0.39,23748
'Flat / Apartment',888,'West Brompton',112.04955,0.32,23748
House,1857,Angel,121.163166,0.25,31164
'New development',538,'Caledonian Road & Barnsbury',78.066914,0.76,31164
'Flat / Apartment',422,'Hackney Downs',1007.097156,0.45,33036
'Flat / Apartment',2074,Hampstead,103.664417,0.37,31164
House,1645,'Imperial Wharf',91.18541,0.07,22068
House,2115,Balham,74.468085,0.33,28092
House,2242,Balham,66.90455,0.11,28092
'Flat / Apartment',600,'Canary Wharf',91.666667,0.24,32976
'Flat / Apartment',381,'Russell Square',124.671916,0.32,38568
'Flat / Apartment',791,'West Brompton',75.221239,0.62,23748
House,2937,'Barnes Bridge',76.608784,1.6,13728
'Flat / Apartment',907,'Imperial Wharf',83.241455,0.22,22068
'Flat / Apartment',1218,'Clapham Junction',73.891626,0.8,28092
'Flat / Apartment',1560,Victoria,127.564103,0.41,76860
House,1464,Wimbledon,81.625683,0.8,28092
'Flat / Apartment',696,'Wandsworth Town',64.655172,0.71,28092
'Flat / Apartment',339,Homerton,95.870206,0.07,33036
House,1541,Homerton,74.626866,0.07,33036
'Flat / Apartment',1456,'Putney Bridge',58.379121,2.03,28092
'New development',1004,'Putney Bridge',87.549801,2.1,28092
House,1875,'Clapham Junction',69.066667,0.21,28092
'Flat / Apartment',695,Balham,82.733813,0.55,28092
'Flat / Apartment',1496,'Bond Street',274.064171,0.38,76860
House,1919,Angel,93.798854,0.84,31164
'Flat / Apartment',1170,'South Kensington',136.324786,0.33,23748
'New development',690,'Canada Water',72.318841,0.29,35496
Penthouse,2852,'Wandsworth Town',119.565217,3.39,28092
House,1724,'South Kensington',165.313225,0.2,23748
'Flat / Apartment',1474,'South Kensington',128.561737,0.31,23748
House,1756,'Imperial Wharf',93.963554,0.24,22068
House,1806,Hammersmith,67.829457,0.68,22068
House,2145,'Shepherds Bush',51.282051,1.01,22068
House,950,Wimbledon,115.263158,0.4,28092
'Flat / Apartment',904,'Raynes Park',60.840708,0.45,28092
House,2583,'Wandsworth Town',58.072009,3.9,28092
'Flat / Apartment',911,'Wandsworth Town',82.327113,3.29,28092
House,1822,'Wandsworth Town',63.117453,3.89,28092
'Flat / Apartment',647,'St. Johns Wood',102.782071,0.4,76860
'Flat / Apartment',1036,'St. Johns Wood',120.656371,0.3,76860
'Flat / Apartment',632,'Clapham Junction',94.936709,0.74,28092
'Flat / Apartment',946,'Clapham Junction',73.995772,0.85,28092
House,3020,'Clapham Junction',81.125828,1.13,28092
'Flat / Apartment',853,Victoria,205.158265,0.74,23748
'New development',1033,Angel,86.640852,0.66,31164
'Flat / Apartment',884,Hampstead,11.312217,0.15,31164
House,2124,'Imperial Wharf',108.286252,0.56,22068
'Flat / Apartment',444,'Ealing Broadway',84.459459,0.4,32364
'New development',591,'Imperial Wharf',122.673435,0.64,22068
'Flat / Apartment',1140,Victoria,86.403509,0.37,76860
'Flat / Apartment',795,'Wandsworth Town',73.584906,3.65,28092
House,1993,'Wandsworth Town',49.924737,3.51,28092
'Flat / Apartment',666,'Bethnal Green',82.582583,0.3,32976
'Flat / Apartment',885,Hampstead,141.242938,1.22,31164
House,2396,Paddington,156.510851,0.37,76860
Studio,514,'Clapham Common',83.657588,0.49,34956
'Flat / Apartment',891,'Clapham Common',93.15376,0.49,34956
'Flat / Apartment',635,'Goodge Street',173.228346,0.18,38568
'New development',1410,'Charing Cross',219.858156,0.15,76860
'Flat / Apartment',706,'High Street Kensington',131.01983,0.1,23748
House,3319,Canonbury,79.843326,0.48,31164
'Flat / Apartment',569,Canonbury,79.086116,1.16,31164
'Flat / Apartment',720,'Hackney Downs',90.277778,0.66,33036
Penthouse,1209,'Imperial Wharf',103.391232,0.61,22068
'Flat / Apartment',810,'Old Street',95.679012,0.84,38568
House,1080,'Acton Central',74.074074,0.58,27264
House,1735,'Barnes Bridge',106.628242,0.75,13728
House,1108,'Barnes Bridge',135.379061,0.98,13728
House,2147,'Shepherds Bush',78.947368,1.44,22068
'Flat / Apartment',686,'Clapham Junction',109.329446,1.59,28092
'Flat / Apartment',1492,'Clapham Junction',133.042895,1.09,28092
'Flat / Apartment',1125,'St. Johns Wood',97.777778,0.3,76860
'Flat / Apartment',674,'Old Street',96.439169,0.44,38568
House,2145,Victoria,209.79021,0.63,23748
'New development',2552,Paddington,186.128527,1.54,23748
House,2172,Highgate,98.987109,0.19,29436
'Flat / Apartment',964,'Ealing Broadway',72.095436,0.53,32364
'Flat / Apartment',573,'West Kensington',100.34904,0.42,23748
'Flat / Apartment',966,'Earls Court',201.863354,0.22,23748
House,2365,Mortlake,8.45666,0.54,13728
'Flat / Apartment',816,'Tower Gateway',134.803922,0.29,32976
House,2500,Tooting,62,5.61,28092
House,1868,'Chiswick Park',80.299786,1.07,27216
House,960,'Chiswick Park',75.520833,0.32,27216
'Flat / Apartment',739,'Imperial Wharf',106.224628,0.21,22068
'Flat / Apartment',491,Homerton,81.466395,0.19,33036
House,2157,Victoria,220.213259,0.96,23748
'Flat / Apartment',931,Angel,99.355532,0.8,31164
House,1776,'Imperial Wharf',101.351351,1.18,22068
House,3144,'Imperial Wharf',93.829517,1.15,22068
'New development',825,'Imperial Wharf',96.363636,0.42,22068
'Flat / Apartment',798,'Imperial Wharf',99.62406,0.7,22068
'New development',558,'Imperial Wharf',139.784946,0.75,22068
'New development',461,'Canada Water',86.334056,0.73,35496
'Flat / Apartment',680,Kennington,83.823529,0.35,35496
House,1007,Tooting,62.065541,5.42,28092
House,1259,'Barnes Bridge',91.342335,1.02,13728
'Flat / Apartment',703,'Old Street',93.172119,0.44,38568
'Flat / Apartment',482,Angel,77.80083,1.09,31164
House,2221,Hampstead,107.834309,1.3,31164
'Flat / Apartment',614,'Clapham Junction',109.120521,0.36,28092
House,1792,'Clapham Junction',80.915179,0.83,28092
'Flat / Apartment',2203,'Goodge Street',79.437131,0.12,38568
House,1673,Victoria,134.488942,0.23,23748
Penthouse,1424,Angel,90.941011,0.5,31164
House,2435,Mortlake,71.868583,0.41,13728
'Flat / Apartment',707,Balham,99.009901,0.19,28092
House,2137,'Barnes Bridge',98.268601,1.64,13728
House,1414,'Clapham Junction',54.809052,0.47,28092
House,2379,'Wandsworth Town',66.204288,3.55,28092
'Flat / Apartment',1091,Homerton,59.578368,0.18,33036
House,2344,Mortlake,95.989761,0.54,13728
House,2540,Mortlake,68.897638,0.44,13728
House,1737,'Chiswick Park',79.447323,0.45,27216
House,3717,Wimbledon,82.055421,0.17,28092
House,3594,Wimbledon,65.386756,0.27,28092
'Flat / Apartment',913,Victoria,369.66046,0.85,23748
'Flat / Apartment',1138,Paddington,149.384886,1.12,23748
Penthouse,2231,'Green Park',208.426714,0.47,76860
'Flat / Apartment',1074,'Bond Street',195.530726,0.3,76860
'New development',506,'Finsbury Park',77.075099,0.06,33036
House,1684,'Imperial Wharf',97.980998,0.11,22068
'Flat / Apartment',1997,'Earls Court',10.015023,0.11,23748
House,2055,Balham,77.128954,0.15,28092
House,4774,'Wandsworth Town',89.023879,1.22,28092
House,2815,'West Brompton',140.319716,0.48,23748
'Flat / Apartment',1295,'Wandsworth Town',76.061776,3.32,28092
'Flat / Apartment',1275,Victoria,117.647059,0.41,23748
'Flat / Apartment',543,Victoria,85.635359,0.38,76860
House,1357,Wimbledon,70.007369,0.75,28092
'Flat / Apartment',1134,'Wandsworth Town',63.932981,3.73,28092
'Flat / Apartment',473,'St. Johns Wood',98.308668,0.4,76860
'Flat / Apartment',451,'St. Johns Wood',110.864745,0.19,76860
'Flat / Apartment',820,'Wandsworth Town',94.512195,3.34,28092
House,2052,'Clapham Junction',75.536062,0.55,28092
House,3247,Tooting,56.97567,5.47,28092
'Flat / Apartment',458,Brixton,545.849345,0.12,34956
House,3448,'Maida Vale',95.707657,0.25,23748
'Flat / Apartment',1402,'Goodge Street',114.122682,0.18,38568
Penthouse,890,'Goodge Street',201.123596,0.43,38568
'Flat / Apartment',987,'Bond Street',227.963526,0.38,76860
'Flat / Apartment',1027,'Bond Street',258.033106,0.38,76860
'New development',820,'Imperial Wharf',120.731707,1.05,22068
'New development',1259,Barbican,131.056394,0.12,24000
'New development',618,Victoria,123.786408,0.73,23748
'Flat / Apartment',1095,Angel,100.456621,0.75,31164
'Flat / Apartment',540,'Hackney Downs',879.537037,0.77,33036
Penthouse,1879,Hampstead,130.388505,0.59,31164
'Flat / Apartment',668,Hampstead,97.305389,0.73,31164
'Flat / Apartment',539,'Ealing Broadway',834.786642,0.53,32364
'Flat / Apartment',734,'South Kensington',53.814714,0.4,23748
Penthouse,1539,'Canada Water',6.497726,0.11,35496
'Flat / Apartment',1517,Balham,54.383652,0.56,28092
House,2340,Tooting,68.376068,5.57,28092
'Flat / Apartment',1085,'Chancery Lane',115.207373,0.32,38568
House,1112,'Chiswick Park',98.920863,0.21,27216
House,1517,'Chiswick Park',79.103494,0.45,27216
House,5108,'Barnes Bridge',7.830854,1.4,13728
House,1952,'Barnes Bridge',64.036885,0.83,13728
'Flat / Apartment',477,'West Kensington',90.146751,0.82,23748
'Flat / Apartment',556,Hammersmith,114.208633,0.61,22068
'New development',960,'Shepherds Bush',10.416667,0.87,22068
'Flat / Apartment',783,'Shepherds Bush',53.639847,0.67,22068
'Flat / Apartment',552,'Clapham Junction',105.978261,1.04,28092
House,1148,'Clapham Junction',69.686411,0.51,28092
House,2131,'Wandsworth Town',68.043172,3.75,28092
House,2518,'Wandsworth Town',7.942812,3.7,28092
'Flat / Apartment',814,'St. Johns Wood',122.235872,0.48,76860
'Flat / Apartment',917,'Green Park',354.416576,0.2,76860
'Flat / Apartment',570,'Oxford Circus',153.508772,0.16,76860
'Flat / Apartment',633,'Bond Street',118.483412,0.12,76860
'Flat / Apartment',1925,'South Kensington',194.805195,0.25,23748
'New development',739,'Finsbury Park',76.454668,0.86,33036
House,1341,Angel,107.009694,0.23,31164
'New development',1321,Angel,98.031794,0.43,31164
'Flat / Apartment',822,Angel,59.002433,1.41,31164
House,2281,Mortlake,103.024989,0.53,13728
House,1805,Balham,74.792244,0.35,28092
'New development',691,'Clapham Junction',78.871201,0.06,28092
'New development',691,'Clapham Junction',92.619392,0.06,28092
'New development',577,'Clapham Junction',94.454073,0.06,28092
Penthouse,2120,'Putney Bridge',87.264151,2.07,28092
'New development',1399,'Putney Bridge',104.360257,2.07,28092
House,2266,'Barnes Bridge',97.087379,0.69,13728
House,1782,Hammersmith,74.354658,0.7,22068
'Flat / Apartment',1862,Vauxhall,190.655209,1.09,23748
House,1271,Wimbledon,94.020456,0.8,28092
House,2620,'Raynes Park',76.145038,0.46,28092
House,1712,Wimbledon,92.581776,0.28,28092
House,3924,'Raynes Park',68.679918,0.06,28092
House,3067,Wimbledon,97.489403,0.23,28092
House,2422,Tooting,77.415359,5.44,28092
'Flat / Apartment',623,'St. Johns Wood',104.333868,0.4,76860
'Flat / Apartment',513,'Aldgate East',108.966862,0.09,32976
'Flat / Apartment',1441,Victoria,239.417071,1.32,23748
'Flat / Apartment',1520,Victoria,13.157895,0.32,23748
'Flat / Apartment',592,'Putney Bridge',71.790541,2.03,28092
'Flat / Apartment',1040,'Wandsworth Town',67.307692,3.82,28092
'Flat / Apartment',1163,'Oxford Circus',189.16595,0.85,76860
House,1224,'Oxford Circus',142.973856,0.95,76860
'Flat / Apartment',765,Victoria,189.542484,0.26,23748
House,2216,Angel,157.942238,0.82,31164
'Flat / Apartment',1032,Angel,89.631783,0.17,31164
'Flat / Apartment',1623,Angel,113.986445,1.11,31164
'Flat / Apartment',2039,Hampstead,112.555174,0.62,31164
'Flat / Apartment',730,Hampstead,126.712329,0.42,31164
House,3060,'Ealing Broadway',6.535948,0.53,32364
House,1767,Mortlake,76.400679,0.3,13728
'New development',1335,'Canary Wharf',106.217228,0.17,32976
House,1685,'Chiswick Park',77.151335,0.08,27216
House,2425,'Barnes Bridge',98.969072,1.7,13728
'Flat / Apartment',853,'Imperial Wharf',96.717468,0.38,22068
'Flat / Apartment',634,Hammersmith,100.157729,0.57,22068
'Flat / Apartment',944,'West Kensington',99.04661,0.78,23748
'New development',784,'Putney Bridge',92.47449,2.1,28092
'Flat / Apartment',628,'Ladbroke Grove',214.968153,0.31,23748
House,1746,Tooting,68.728522,5.5,28092
'Flat / Apartment',599,'South Kensington',125.208681,0.28,23748
'New development',566,Angel,88.339223,0.49,31164
Penthouse,1226,Angel,67.292007,0.97,31164
'Flat / Apartment',1386,'Imperial Wharf',70.34632,0.06,22068
Studio,425,'Ealing Broadway',82.352941,0.4,32364
'Flat / Apartment',703,'Earls Court',14.224751,0.42,23748
'Flat / Apartment',1122,'Earls Court',133.244207,0.45,23748
House,2667,Mortlake,88.113986,0.29,13728
'Flat / Apartment',924,Tooting,73.051948,5.53,28092
'Flat / Apartment',1025,Tooting,74.634146,5.5,28092
Penthouse,3451,'Canary Wharf',85.482469,1.02,32976
House,1710,'Chiswick Park',70.175439,0.35,27216
House,1395,'Chiswick Park',89.605735,0.3,27216
House,1889,'Chiswick Park',79.142403,0.19,27216
House,2150,'Barnes Bridge',90.697674,0.65,13728
'New development',590,'Shepherds Bush',133.050847,0.83,22068
'Flat / Apartment',1641,'Clapham Junction',137.111517,0.87,28092
House,2565,'Wandsworth Town',65.302144,3.92,28092
House,1360,'Wandsworth Town',69.852941,0.52,28092
Penthouse,2458,'Camden Town',80.349878,0.27,38568
House,1986,'South Kensington',178.751259,0.42,23748
'Flat / Apartment',539,Tooting,64.935065,5.47,28092
'New development',1961,'Goodge Street',234.574197,0.19,38568
'New development',824,Victoria,160.800971,0.3,23748
'Flat / Apartment',981,'South Kensington',188.583078,0.35,23748
House,1549,'Ealing Broadway',6.455778,1.36,32364
'Flat / Apartment',1072,'West Brompton',18.656716,0.29,23748
House,1760,Mortlake,68.181818,0.26,13728
House,1668,Balham,70.443645,0.19,28092
House,2177,Brixton,59.715204,0.45,34956
House,4213,Streatham,83.076193,6.33,34956
'Flat / Apartment',1035,Balham,77.294686,0.12,28092
House,1615,'Chiswick Park',74.303406,0.16,27216
House,3230,'Chiswick Park',102.012384,0.86,27216
'Flat / Apartment',548,'Chiswick Park',77.554745,0.16,27216
'New development',1091,'Putney Bridge',111.36572,2.07,28092
House,1341,'West Brompton',137.956749,0.66,23748
House,2652,'Barnes Bridge',85.784314,0.61,13728
'Flat / Apartment',601,'Barnes Bridge',66.55574,0.76,13728
'Flat / Apartment',1143,'Clapham Junction',69.991251,0.81,28092
'Flat / Apartment',940,Vauxhall,74.468085,1.33,23748
Duplex,1522,'Wandsworth Town',49.277267,3.48,28092
'Flat / Apartment',561,'Old Street',89.12656,0.46,33036
House,1726,Victoria,230.301275,0.66,23748
House,1554,'Putney Bridge',70.720721,2.03,28092
'Flat / Apartment',901,'Clapham Junction',94.339623,0.91,28092
'Flat / Apartment',987,'Clapham Junction',70.4154,0.73,28092
'Flat / Apartment',922,'Maida Vale',103.036876,0.18,23748
'Flat / Apartment',520,Angel,70.192308,0.6,31164
'Flat / Apartment',1218,Hampstead,98.522167,0.65,31164
'Flat / Apartment',550,'Aldgate East',69.090909,1.2,32976
House,3435,'West Dulwich',54.585153,0.12,28872
'Flat / Apartment',771,'Canary Wharf',63.553826,0.76,32976
House,2612,'Barnes Bridge',105.283308,1.28,13728
'Flat / Apartment',460,'St. Johns Wood',97.826087,0.4,76860
House,1224,'Wandsworth Town',67.401961,3.33,28092
House,2205,'Putney Bridge',76.870748,2.09,28092
'Flat / Apartment',548,'Putney Bridge',77.554745,2.07,28092
'Flat / Apartment',896,'Camden Town',139.508929,0.53,38568
House,2239,Paddington,167.485485,1.48,23748
'New development',1263,'Mill Hill East',62.153603,0.94,31452
'Flat / Apartment',891,'Old Street',75.757576,0.62,38568
'Flat / Apartment',518,'Hackney Downs',89.76834,0.52,33036
'Flat / Apartment',1023,Hampstead,131.964809,0.77,31164
House,2458,'Imperial Wharf',101.708706,1.2,22068
House,1112,Mortlake,84.982014,0.43,13728
'Flat / Apartment',861,'Canary Wharf',84.204413,0.56,32976
'Flat / Apartment',469,'Canary Wharf',69.296375,0.47,32976
'Flat / Apartment',742,Farringdon,107.816712,0.67,24000
'New development',476,Barbican,125,0.1,24000
'Flat / Apartment',740,'Chiswick Park',57.432432,0.31,27216
House,1380,'Barnes Bridge',90.57971,1.46,13728
House,1959,'Barnes Bridge',107.19755,0.63,13728
House,869,'Clapham Junction',100.690449,0.51,28092
House,1238,'Clapham Junction',88.449111,0.46,28092
Penthouse,1680,'Clapham Junction',88.988095,0.85,28092
'Flat / Apartment',1221,Wimbledon,73.300573,0.25,28092
'Flat / Apartment',1087,'Wandsworth Town',59.797608,3.28,28092
'Flat / Apartment',1548,Victoria,226.098191,0.42,23748
'Flat / Apartment',1559,'South Kensington',304.682489,0.73,23748
'Flat / Apartment',690,'Clapham Common',79.710145,0.53,34956
'New development',2174,'West Brompton',185.602576,0.85,23748
'Flat / Apartment',933,'High Street Kensington',123.258307,0.32,23748
House,1327,'High Street Kensington',177.091183,0.28,23748
Penthouse,1010,'London Bridge',77.227723,0.6,35496
House,3260,Streatham,48.92638,6.34,34956
House,2456,Tooting,4.071661,5.45,28092
House,953,Balham,89.192025,0.36,28092
'Flat / Apartment',967,'Clapham Junction',64.632885,0.83,28092
House,1457,'Clapham Junction',89.224434,0.61,28092
House,2349,Victoria,125.585355,0.51,76860
House,1184,Wimbledon,84.037162,0.8,28092
House,1705,'Wandsworth Town',67.44868,3.65,28092
'Flat / Apartment',814,'Wandsworth Town',85.995086,3.43,28092
'Flat / Apartment',619,'Wandsworth Town',92.891761,3.69,28092
House,1749,Homerton,95.769011,0.14,33036
'Flat / Apartment',1607,'South Kensington',280.024891,0.43,23748
'Flat / Apartment',992,Victoria,82.66129,1.1,23748
'Flat / Apartment',774,'Putney Bridge',82.041344,2.15,28092
House,3256,'Putney Bridge',61.271499,2.03,28092
House,1868,Angel,101.445396,0.4,31164
'Flat / Apartment',1026,'Canary Wharf',80.409357,0.44,32976
'Flat / Apartment',767,Farringdon,114.080834,0.31,38568
House,2108,'Barnes Bridge',103.178368,0.65,13728
House,2332,'Barnes Bridge',96.483705,0.67,13728
'Flat / Apartment',1100,'Clapham Junction',88.636364,0.96,28092
House,2144,'Clapham Junction',80.923507,0.65,28092
House,1335,Wimbledon,102.996255,0.17,28092
House,1811,'Wandsworth Town',71.507454,3.3,28092
'Flat / Apartment',693,'St. Johns Wood',126.262626,0.13,76860
House,1873,'West Hampstead',104.111052,0.5,31164
'Flat / Apartment',1366,Hampstead,94.802343,1.22,31164
'Flat / Apartment',1672,'Bond Street',128.588517,0.1,76860
'Flat / Apartment',548,'Goodge Street',145.985401,0.46,76860
'Flat / Apartment',883,'Goodge Street',198.187995,0.43,38568
'New development',847,'Clapham Junction',139.079103,1.4,28092
'Flat / Apartment',1806,'High Street Kensington',119.047619,0.25,23748
House,2132,Canonbury,88.883677,0.77,31164
'Flat / Apartment',1355,Angel,88.560886,0.84,31164
House,804,'Hackney Downs',90.174129,0.49,33036
House,1069,Hampstead,102.899906,0.84,31164
'New development',2258,Hanwell,4.428698,0.29,32364
'New development',870,'Ealing Broadway',68.965517,0.9,32364
'Flat / Apartment',537,'South Kensington',129.422719,0.37,23748
House,1921,Balham,75.48152,0.24,28092
House,1674,Balham,77.359618,0.16,28092
'Flat / Apartment',1500,'South Kensington',173.333333,0.3,23748
House,570,Wimbledon,105.263158,0.31,28092
House,900,Wimbledon,99.444444,0.67,28092
Penthouse,1112,Wimbledon,104.316547,0.63,28092
'Flat / Apartment',622,'Wandsworth Town',80.385852,3.63,28092
'Flat / Apartment',797,Homerton,78.419072,0.3,33036
'Flat / Apartment',377,'St. Johns Wood',119.363395,0.19,76860
'Flat / Apartment',649,Paddington,192.604006,0.99,23748
'Flat / Apartment',1055,'Ladbroke Grove',156.398104,0.32,23748
Penthouse,1575,'Ladbroke Grove',219.047619,0.24,23748
'Flat / Apartment',1657,'Ladbroke Grove',179.54134,0.24,23748
House,1266,'Oxford Circus',197.472354,0.33,76860
'Flat / Apartment',1064,'South Kensington',202.067669,0.69,23748
'Flat / Apartment',1053,Victoria,189.458689,0.64,23748
'Flat / Apartment',1045,Victoria,162.679426,1.54,23748
'Flat / Apartment',1722,'South Kensington',150.987224,0.21,23748
'Flat / Apartment',905,'South Kensington',185.082873,0.68,23748
'Flat / Apartment',776,Victoria,192.654639,2.09,23748
'Flat / Apartment',1398,'South Kensington',207.081545,0.36,23748
'Flat / Apartment',675,'South Kensington',214.814815,0.39,23748
'Flat / Apartment',691,Victoria,115.050651,0.67,23748
'Flat / Apartment',1522,'Ladbroke Grove',124.507227,0.64,23748
'Flat / Apartment',1480,'High Street Kensington',125,0.29,23748
'Flat / Apartment',1804,'High Street Kensington',194.013304,0.3,23748
Studio,410,'High Street Kensington',109.756098,0.11,23748
'Flat / Apartment',1850,'High Street Kensington',156.486486,0.36,23748
'Flat / Apartment',1317,'High Street Kensington',94.91268,0.27,23748
'Flat / Apartment',2713,'High Street Kensington',156.653151,0.33,23748
'Flat / Apartment',1162,'High Street Kensington',111.876076,0.35,23748
'Flat / Apartment',793,'High Street Kensington',148.171501,0.27,23748
Penthouse,1894,'High Street Kensington',234.952482,0.22,23748
'Flat / Apartment',923,'High Street Kensington',167.930661,0.09,23748
'Flat / Apartment',914,'High Street Kensington',142.231947,0.25,23748
House,1899,Mortlake,76.355977,0.27,13728
House,1503,Balham,78.176979,0.32,28092
'New development',823,'Putney Bridge',96.597813,2.07,28092
House,3104,'West Brompton',153.028351,0.59,23748
'Flat / Apartment',743,Hammersmith,87.483176,0.55,22068
House,1167,'Clapham Junction',72.836332,0.58,28092
'Flat / Apartment',779,'Clapham Junction',71.887035,0.44,28092
House,960,'Clapham Junction',94.791667,0.75,28092
'Flat / Apartment',621,Wimbledon,644.041868,0.69,28092
'Flat / Apartment',592,Wimbledon,78.547297,0.69,28092
House,2352,'Wandsworth Town',65.263605,3.56,28092
'Flat / Apartment',1702,'Putney Bridge',76.086957,2.13,28092
'Flat / Apartment',947,'Putney Bridge',87.117212,2.06,28092
'Flat / Apartment',879,'Camden Town',135.949943,0.66,38568
'Flat / Apartment',1061,'Camden Town',117.813384,0.67,38568
'Flat / Apartment',1225,Hampstead,110.204082,1.1,31164
'New development',542,'Clapham Common',101.476015,0.32,34956
'Flat / Apartment',677,'Russell Square',145.49483,0.38,38568
'Flat / Apartment',482,Canonbury,109.958506,0.39,31164
House,2968,Angel,141.509434,0.93,31164
House,1340,Angel,102.61194,1.15,31164
'Flat / Apartment',707,'Hackney Downs',81.329562,0.13,33036
House,2740,Highgate,107.664234,0.26,29436
House,3156,'Imperial Wharf',102.978454,1.24,22068
House,1989,Streatham,45.248869,6.35,34956
'Flat / Apartment',517,'Royal Victoria',58.027079,1.07,22431
'New development',577,'Clapham Junction',88.388215,0.06,28092
'Flat / Apartment',302,'Imperial Wharf',115.89404,1.02,22068
'Flat / Apartment',981,'West Kensington',89.194699,0.39,23748
House,2642,'Putney Bridge',41.445874,2.03,28092
House,3256,Wimbledon,102.886978,0.25,28092
House,1723,'Wandsworth Town',78.351712,3.49,28092
'Flat / Apartment',817,'Camden Town',116.27907,0.55,38568
'Flat / Apartment',1013,'Clapham Junction',96.248766,0.96,28092
House,2530,'South Kensington',156.126482,0.21,23748
'Flat / Apartment',650,'Caledonian Road & Barnsbury',73.076923,1.22,31164
'Flat / Apartment',881,'Hackney Downs',66.401816,0.94,33036
House,2223,Cricklewood,78.722447,0.75,31452
House,1258,'Acton Central',75.516693,0.56,27264
'Flat / Apartment',683,'London Bridge',133.235725,0.84,35496
'Flat / Apartment',758,'Imperial Wharf',92.348285,0.83,22068
House,1419,Hammersmith,89.852008,0.63,22068
'Flat / Apartment',549,Wimbledon,77.413479,0.81,28092
House,2432,'St. Johns Wood',12.335526,0.13,76860
'Flat / Apartment',990,'Putney Bridge',78.282828,2.04,28092
House,2088,'Clapham Junction',88.601533,0.61,28092
'New development',560,'Imperial Wharf',115.892857,1.05,22068
'Flat / Apartment',806,'Finsbury Park',496.215881,0.6,33036
'Flat / Apartment',527,Angel,94.87666,0.48,31164
House,1705,'Hackney Downs',63.636364,0.3,33036
House,1679,'Imperial Wharf',94.997022,0.2,22068
House,2084,Balham,71.976967,0.23,28092
House,4050,Streatham,69.135802,6.33,34956
House,2685,'Shepherds Bush',100.558659,1.39,22068
House,1301,'Chiswick Park',88.393543,1.17,27216
House,2406,'Barnes Bridge',102.86783,1.25,13728
'Flat / Apartment',1181,Victoria,249.788315,1.26,23748
'Flat / Apartment',683,'Clapham Junction',87.115666,0.72,28092
House,1892,'Clapham Junction',79.016913,0.66,28092
